Name,PhysicalATK,BloodATK,ArcaneATK,BoltATK,StrengthReq,SkillReq,BloodTingeReq,ArcaneReq,StrengthScaling,SkillScaling,BloodTingeScaling,ArcaneScaling,Rally,Durability,QsBulletUse,ImageSrc
Beasthunter Saif,90,0,0,0,9,11,0,0,0.20,0.40,0.00,0.33,30,200,0,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjmd1wnqgnqSa5iYYNbM2BGyfZiZj3GE3BvOhhhFoEkmGXexrFOuCND8If_sGOIaoWcKu4bis9-kpCIvQxrQ68PkHjLFiT8Hqf-9LrFMXdgziDYmvlhxEp-Nn1IYAAIC9KXe6-7aI21OAQ/s42/beasthunter_saif.png
Holy Moonlight Sword,90,0,0,0,16,12,0,14,0.50,0.40,0.00,0.60,60,250,1,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiE-9sn6Khv0HUGwkOv7Rv-d7I3LSyn0AhPj_EfIcEKfbfodZe28eth3tQEYEJNogRG5P7u4iaSTrzT2NesI9y5mTJEc3o0TZMmEoJALzheNAs_jrEHDx8R_6hmhWM-wVHinyxDFvVHbmQ/s42/holy_moonlight_sword.png
Bloodletter,90,90,0,0,14,6,16,0,0.60,0.00,0.70,0.33,40,270,0,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhDeMkK499MNtznCvbQ2FwQi0zP1UrToPv07TgPljbNATjUhMAj6lzNT4KuZrqY4CRDpEyT7ta0f9gZaipjW2Ha4qFuuqNIQnANW5NmSuKiutN9BWhIL04dngDnzojjABs_PZaRlj6-X0M/s42/bloodletter.png
Rakuyo,82,0,0,0,10,20,0,0,0.00,0.60,0.00,0.33,40,200,0,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjQ3A78SSaBAbuzKrc_8s6uns4wPQO5wQegQgGZdqf2S4SiGmvLrSqbUI2Po3nhdvO2ZZcl3ORK1X8oANk82L6F-b-J6UcrauxkW4UnAnzrkSckvD9JLziQOl21djOGUJnabgiVau3ETqQ/s42/rakuyo.png
Chikage,92,92,0,0,10,14,12,0,0.15,0.45,0.60,0.33,40,120,0,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgT43IDyVg5f5B8T7PEmmNbXzWyvpnitqrSGbSCWf91B9ku40bxuTPW-vIkdM9ED_44im109M0E4ltuthMCg_k2YIvUVcQxxyP9lTVtIPyWWDgpis6yvyUCVgG6eQulrH3GvajkAq7p8CU/s42/chikage.png
Reiterpallasch,75,75,0,0,8,12,10,0,0.10,0.60,0.20,0.38,40,150,1,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjcvcYriAqehLd1zRSnLPSKovfq9Qm9DVy2WJi4cPgJNDM9-KAe3xwIhOdkJmvIwciIrj_rtZXEHk028FBVgh0UlXDDJraOtLcPSlbG7JDdJGe_M4JFt1fSYo1qWXAQw5N7fWBZGBVSyOc/s42/reitterpallasch.png
Burial Blade,80,0,0,0,10,12,0,0,0.20,0.55,0.00,0.40,50,200,0,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi7Ir4Ez9I8bKMPe2S1j3Cjpsvbiv1oNmLBiIMoEY7N0B5RmeLS9WSUZ1s0pHYzdZstrdr2KDEPxoWjR87qxwuBXVMdvvns1zX6sn2mDlf6ehyphenhypheniCM7fGc5n7OKWXOjF2GQVhVc7EbMPqWM/s42/burial_blade.png
Whirligig Saw,95,0,0,0,18,12,0,0,0.70,0.20,0.00,0.49,60,230,0,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhh9OgZHG0qZHZBI-6j83ryxqLVmbO9D6KgW5Xp6G6tr1nVWwc_oddXG0K5GQkQlPQ4IwsBdocd_uYygyzQtEMrSFpc-oMdOW7zda6LlDSicb8tuOm7PnS7NChCFxzqpt7_EDe-mZuYbgg/s42/whirligig_saw.png
Amygdalan Arm,80,0,0,0,17,9,0,0,0.60,0.15,0.00,0.41,40,200,0,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh0arXcRX6V5YDyJQeMLzw7wT8M7rDMriw4Cl1bSF3nJaq4UYFPUHoq9Dm9411DqpA97mwWF4f3QoQVq9ATFC6WpbvXa0kV6t4B9eaWeCW2PqFhk9sPofeTO-oowMyXLXqA6nftW30pubc/s42/amygdalan_arm.png
Threaded Cane,78,0,0,0,7,9,0,0,0.19,0.60,0.00,0.43,35,200,0,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiUBs2wqtIQNUvQVLoSgwSxgS7MFfce4L9NM8EwJK611BvXSERS9NLxuHIb2gzPtO-houE5062u6jR2vohX6lm5WymMUSchuibTYPfAUkjAL-CTZbHhlImnOUUtCqqzCIFv6HmtwpAkTlk/s42/threaded_cane.png
Hunter Axe,98,0,0,0,9,8,0,0,0.45,0.15,0.00,0.33,75,250,0,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgCB7RRfXOtC9a_xvY1oSRjYX-h_YCFkyyIJNbL65fm2GmvQqzikGZcml26VU24wsG5th9dIeGPAGasfoMwmJpEnqAsR7no7SrJGEAce1dHXYVHh4UGO9My3gZUfLhdzGHFVYoxQWWJfK8/s42/hunter_axe.png
Stake Driver,85,0,0,0,18,9,0,0,0.40,0.35,0.00,0.41,35,200,0,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjlJfaTPlYO5Uf3MjEQLCvp9ZTwkNMytv9uj3-ShLUb3WCk1WOG4v-KnNI8V6jjcb_9SM7xO4NlqDCuh1eopgqypxFAA2AcCPbBp_9OQR4ompIWw4ykPZSwtwo02yYIIvQaV92k1ZrvwIc/s42/stake_driver.png
Boom Hammer,90,0,60,0,14,8,0,0,0.60,0.15,0.00,0.41,45,100,0,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgYAhMoodd1mkju3I0X3It541bY7JIDbJaXJh3F_g4eLvoxNeNnoAu76zdDRkxuuVkraQptpqy5ABUckRYsfJbG9E_8mFu1LVCpuKGWEdQNhu2sjIbj5s5A_k4bH161C8nwEg0_RscArUE/s42/boom_hammer.png
Beast Cutter,92,0,0,0,11,9,0,0,0.40,0.10,0.00,0.27,30,230,0,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjTvIeE0U4spHrniuh4rJcdNtOVzwtcxIR9SnsjvcZllILE9ufTuWOctVe8SLwg_gbINMB7yIpYMEz0-v3MetSMqC4Ui6_ANxpYK6z5fChwztcOABS7F15tYuh2D21LoWqQT5a93QF9uvQ/s42/beast_cutter.png
Saw Spear,85,0,0,0,7,8,0,0,0.30,0.44,0.00,0.40,35,200,0,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhpdkmKqOGDY30XYnpJIQOvfn7qAx_sa2PSysyxFMJNsTiTniiE2LhsnS0VhLsvmgqmj1pt1IFHRFJg1cBZ7qrNzbAjal2MAChJMsQLL0zqcFJNGUl1hC6TlsI5srlKgJFaNjtBCb32hKc/s42/saw_spear.png
Blade of Mercy,60,0,0,0,7,11,0,0,0.00,0.60,0.00,0.40,30,200,0,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgE7Ng-rIim0LlpwugCu497F13spKfy3GEvTAYCmWi2rkOSlMInX6ToBO49Sq_oYoAzUYlWsdcsv_IET2-TfWJt503f14gxJF50nA-4DSkaFGe_HYRhUa3msNd48h3dy8dc8jcXFw-axT4/s42/blade_of_mercy.png
