Name,PhysicalDefence,VsBluntDefence,VsThrustDefence,BloodDefence,ArcaneDefence,SlowPoisonRES,RapidPoisonRES,FrenzyRES,BeastHood,TypeOfArmor,ImageSrc
Graveguard Manchettes,40,50,50,50,60,27,26,26,22,Hands,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgb8CTmz8wMRBE-yTDiUYHNvqqyW7jMPhyzhBJaMT1f_0px6f2V4Epu3axlV3vHP07tVC9AkGLhOiv6Y1SAdJhTHUB-hqgBuj34NygmLwt9UUu3yH8Yh4ChYu3smda-1W2O7kYxCi7aUMU/s42/graveguard+arms.png
Harrowed Gloves,60,40,40,60,50,35,31,4,25,Hands,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj8Bcxq-N-5I3O4b6SYiGunj_f9wB7v4IIoXs0GP3xu5Y2YOZbPYv7-anQmc0XQYh8FBR7ifmdK_2jS7JNAYd-Dn-v_eQJMHuWJY4mDkkC84xXiKFAWTQM4r58YY2YIpisQgS6fLSfjkHQ/s42/harrowed+arms.png
Henryk's Hunter Gloves,50,40,50,40,50,11,22,23,32,Hands,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhNNnmz20KuYgx0snix8_hsp0ia_8V6PCVg-ckQ0Z0w-Za76t4YcntvxJEf1IUJPPzS9gF4exUYvzh6L_NVSJeHRU8o-XcM74j32J4hRfRdZwpuOdKmI-KnXnsPs1rKVW3h2RnMwyFXT80/s42/henryk+arms.png
Hunter Gloves,50,50,50,50,40,9,17,27,25,Hands,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgG60hvwodzf396yqw4o3upJklirYp7i1jFeVhzYs7c8UPxyFstbhGBl39gFP7lIaJYF1zyQ2-3NexGqhtO-hxN_Yg60JqLaJcbufqUlYtF3_qsRJadJfAfskpF3ThiwldTdbzU9hGv2lU/s42/hunter+arms.png
Charred Hunter Gloves,60,40,40,50,40,15,20,24,30,Hands,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg79DtfbsCjxGWT2pBeJF_nbhdAcjSUxRVIdR1S5iwODqwuhrCoXFXGE5y-2igZq5lbrP283IrGbqvGRIWZ-LyM7NA2sZOqHpxRpdda60oQejEOM3CkSSTrUACDPRE6hswocXUEblBHANk/s42/charred+arms.png
Choir Gloves,40,40,40,40,70,24,20,8,20,Hands,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhs-iIjbp3Os7QV-ro9CbU2yvRvG1gtMwqclYZ8CN3y3pu3m-XLwUxCg_7KESqydV087_dAxXyYuZBChGwv-T64OCo82Uc7krdC0wnyKXBSiNwarHfri8vRlJ-xWRtp2YcSdk4t3q7Gy-o/s42/choir+arms.png
Knight's Gloves,40,50,50,70,40,13,22,21,19,Hands,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiFOMLzI5Zirkv58zOFrXiD_5sSDF_0MjvumT2arcb8LFDkQmO2YIHlpcALKmEBWN7qufynCq8O04reO-LVWpd-QW07AGsvi-I08xokXoe2cUFO5S-vW64uebCnwX0KedSY1k5qPSrclyQ/s42/knight+arms+male.png
Madman Manchettes,40,40,50,40,60,29,27,1,15,Hands,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg5iaEFc9PpcrS0Bjc-mSh-cr5KTAaeIuJxUuPokJNQ2wQBrOY93-GFTUyKgPUw_ma4Ot_4yfY_nyhJ1yWm9yzjJbdmYMiUU50faQt2-8lzVUgpGPCSZXQi5pYHxv-v1pL6BD7anPF3ryQ/s42/madman+arms.png
Maria Hunter Gloves,50,50,50,70,50,10,27,15,8,Hands,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj1motJslnV7gDZ5tEpL6e7XzoUM_bEOVkeeR_4AdfEf9HDkD5JgvugKBtFmWl3g5Tpdqlmc4NPZkfVO48yMO3ycjnICX0URqyF84vGiETnANG48FUQv1exLMBYGzChVsfk0NP52mA6Q1k/s42/maria+arms.png
Old Hunter Arm Bands,40,40,40,50,60,19,17,12,11,Hands,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjJOKOOZOZpasTBkTUqZq4dwa0cOMSnwtm1oiFoGr4F0vHOMtJWpQ4eDkDBiLSe_h0YBD3TvHQYzc2JGjhp0t_RXkVucs2QaqjfialtQSL9KcuOuRvr6S8mmax-pD87n9rd6NtbEmHYZ0A/s42/yamamura+arms.png
 Old Hunter Gloves,60,50,50,60,50,19,10,23,29,Hands,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEikcG3G3jGWcGHz2tEjxvlO3sIHOATrl9WqxKChoFTtudc1Ia6-hRH_GwVeo2_U21VX7gNIaRSxSWAFV-TrdA3J2vtYT2WZmCy51QcVgdX8qD3W0cJc-ffFgBP6m6vKkQ8Owd8i-jljpIk/s42/old+hunter+arms.png
Sullied Bandage,30,40,30,30,40,14,10,14,8,Hands,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiyj6vgk2nBmU0yPo-fFyMCtOcYLMeNvXlpBokwUzOuIzvfiLDX3YrTr4JHyMuhMyxII2_7ANqsQBImXxrhKrncIlMVcW8qf3YEz0EoWVp1P21SYiJ1AmPMqeEIRhMG_tFJ0t75HhZEcog/s42/foreign+arms.png
Surgical Long Gloves,40,40,50,70,50,32,31,4,22,Hands,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhXRGDEJoL4jRDaWvtCj1B7zcwZ9vD3UYQ2jxnw70WZB7sFqY8_HIFLFE27XUG__macmfFst3La8SOyFz-jOkJeDHUtjfgEx0uMImWiCscqg7lgCMv5ZyeAHc6vqpsAV7CljhiPLRg6u1o/s42/white+church+arms.png
Tomb Prospector Gloves,40,40,60,50,60,29,27,6,24,Hands,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjCvHTPpnyYTZ3S6isVvIMs22UgEl1IbeJeAAGt3bDOfBnp8-xTQ9qBrxBWskmWmSxFez42jQkyf-wwW0kxeBqgJeq9UF_NbypvA2UPbvn3D09xlYbqh1g0Aa7RRMTbrCb5UMgeJDEI9FA/s42/prospector+arms.png
Yahar'gul Black Gloves,50,60,60,50,40,24,20,22,20,Hands,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi9l0vUcRGtMagp6qweeTYvQAZu5ohe8E3J_PZDz5ilWfpB_qD9WQcoXSCyDbarmdrQF8M1ySeA6YPmoIUMN-k3qMa5ythElj_VZ8eWa0WVNB0LmqQDBpNbLOpkR5J_UnDhI7Lrls4htQY/s42/yahargul+arms.png
Yharnam Hunter Gloves,40,50,60,40,50,25,22,22,25,Hands,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjqImKV3iz707ZSEUOdkJVMTsS0HbUYsWHmiS7mc2Ow4lF-ryuMhg2G4pwiDsQIe1N_wt1URAqGqGtrP6n5pV7O5wYsf6w35u18oUtfBZe3SaEDgO-0rMwMGATQAMFy_ZxxQx2OpZ26Ap4/s42/yharnam+hunter+gloves.png
