Name,PhysicalDefence,VsBluntDefence,VsThrustDefence,BloodDefence,ArcaneDefence,SlowPoisonRES,RapidPoisonRES,FrenzyRES,BeastHood,TypeOfArmor,ImageSrc
Maria Hunter Garb,80,70,80,150,70,20,51,30,16,Chest,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEinbQ7rMzLvz0rYoV7boKggVcfWuJSwlqojYn08jD58a3lF7WfeyEqDADjjrpD6GV9_fUCHnCupL6ICDk12vTKiMIieK_XXLTMe-TFOKAZC21OJwLzZa4A4DEEp0RxrrDpwY7enwyo1Wew/s42/maria+chest.png
Noble Dress,50,60,40,130,60,23,31,27,38,Chest,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgmSo-BAe8FvYJlEGPAdM5kzPLqOTalVYINVFoXswyMBN4RMWo31cHQS7HcBkcyIU5RV2j_sf0wfTkezpvudRKDwtsF70bRRS16JH1NpG6Gm-Cb3r1EPRqAFJv3IdpyYt4fhZADCIJUOcY/s42/arianna+chest.png
Old Hunter Garb,100,70,80,100,70,36,19,44,48,Chest,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhRAlzuUcMtnNMcS3fMgGFTjB9Rgw1AjK06vBwT3GeXw4P9R9hsTJEkUxQ1TeK8UrZXlkHxHQv7AS-Hv7w_dM6atxaX9c9K9TlClQg9eABY1Kj1yWo0_WD0W-xJgJvaWZWNgHcPhXUFXTg/s42/old+hunter+chest.png
Student Uniform,70,60,60,90,140,42,31,35,45,Chest,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEja4PeWyDjmArln-GqEgj9_rmzUJyAMSn_TEhLDVU_3WvLl6MIXAuKYKAIbr5WdGjebrH-vZIfHcaTLQXrtVX0FafYRnzHlJiYfOeHs355DR2vZNu_DrO3cm7SsocZILaK78WKJFuKhwwI/s42/student+chest+1.png
Student Uniform (Cape),70,70,70,100,140,42,31,35,35,Chest,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiX_2IPgKYUh56ho9QGnkmDsf0onpUbF060NQUZtzjeff4ALEWFHjbtvsAHoRpdycsigQ08GdVp-Zwzab23nCLquVX_AT9_iYyaxRNSwvF3Nv-E-JB2w0O_bgG_Xcvsbql1H4meGLM9iww/s42/student+chest+2.png
Sweaty Clothes,60,50,50,40,40,27,35,38,27,Chest,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhRTCEAEkc-xoXGYeHz1wBvD1g5pruTvkLR8Nxo3Dyq-fguzpk_q4TmNNA8yp0wj55CMFxxc34SB9do3p6C0Q6WA1tqphQa766fMnKl6jabaWPrNTeA19ajbcGciYaUvxYwRAP-YF-n70I/s42/yharnam+chest.png
Tomb Prospector Garb,90,90,100,90,120,55,57,13,45,Chest,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiRc7YryutJxh5ZWHyvQqiggdOMsXZO1HvXPSJxzMv0GKNsnJUkV1pKPXcvmVN4DHWSi3NNDzIq2Suk89anh9wzXuKy8GVRP8g4j7039p4HQaoBPESxzoTuR4jNPS8FaG_NLrN5Yf_Un3Q/s42/prospector+chest.png
White Church Garb,80,80,110,120,110,63,53,11,36,Chest,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhX9mVUrX9gIkIcd7f90XO3hgK7Zi9OE0vYxo15FAQiwRpmLPfzxrabWDVNXR4fZg9hXWFoWTIC8BLDMN86g0NaEy6O74-IpuXLaUgmfhWQ0u8AzTSN0n3yY2UZB32S7sGfGPGqkwLjm4E/s42/which+church+chest+male.png
Yahar'gul Black Garb,110,90,90,80,60,45,37,41,37,Chest,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi-Cs4KJrBz9fOMD5fn9DgfDaGihm7mnTa_fDPtKpavpcT9XqppZ6ukxHs1evzJjPN5FoEAlr_NybQdESJHgeha8tVhKEFlkZ578CB14Tj9rSR3xzJw6qQRc0dNAooJT8fdxv5X4wezbcs/s42/yahargul+chest.png
Yharnam Hunter Garb,110,80,90,90,80,48,40,41,48,Chest,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhpRkpdZ7aqPcmFv-F5ZkJPstUjQRb9t6bZgXUF7CntiA8YdA6QNu0E1Y2iPuo4AyoHyUWCq5_Oc9wfK7pijplqPmhOMZWV3W7I1PWbINq2EG_5HYF4XhkbF0ylYYpRsFEd7B5J9-lPaR4/s42/yharnam+hunter+chest+male.png
Naked,0,0,0,0,0,0,0,0,0,Chest,Link
