Name,PhysicalDefence,VsBluntDefence,VsThrustDefence,BloodDefence,ArcaneDefence,SlowPoisonRES,RapidPoisonRES,FrenzyRES,BeastHood,TypeOfArmor,ImageSrc
Gold Ardeo,50,40,60,40,40,12,15,13,16,Head,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg-Uvze0PuOucYr9tW-d1wwhUG-LhDdxIY5KS5n05E-PHXTYtFo316FYnqDPoO95CI5DAdejWcmDnagO6bCMf40WO9YWMBtg_M2q5dH2owuecSbMr1kM2Q_kGqo1XP9rYWxBReeqrvbQrE/s42/executioner+head.png
Graveguard Mask,40,40,50,40,50,16,16,32,13,Head,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi1nn6HkyJcbXOKKulVqjRD0s9j9KfpFP8II4v0BIwNNyB8IGphBNOfQ8EIbB_oYIbmIhw-cZFdkOdDONW82ZuekPgUQlmmGerBz6PQJqkXTFBDNKRIHPsmzMyREvHk5e0SQ_-G_0qVIUg/s42/graveguard+head.png
Grey Wolf Cap,50,40,40,50,20,9,12,19,37,Head,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgMKJywUFbtw4_B6iV2NOBvE-Ns0f7LTZyqzvJD1Pt9xdGFIWS9rwtaf9tgHWINqAz6RfKzUkCHwKgNAzEWgsIe6B3x9V-gfSK8UTCjI4wZoaWI4JIzKAP8TCixU4i7kHlP345j7yDXFOY/s42/ashen+hunter+head.png
Harrowed Hood,60,40,50,40,60,20,19,2,18,Head,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjA2EqXhOgxd9Hicqv5JslPGih-egyMIBILplzvSKoTlVsGDwmcazkSLB37zRDdMqiqm2QazwYvNn_Jg_wjkzVr86hMwyg0fHFwXqTWhQt1mxz6wsyGCgbWzl0UqnUploQSubQaSmdrA0w/s42/harrowed+head.png
Henryk's Hunter Cap,50,50,40,40,20,7,14,15,20,Head,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj8RbntiXcXHAmGf5eDVRgf-YJkTNcH-ZZ5iV3UJ_2Lz9jNvdBoJUFDwVl4Y0FUogmcKeBNCcCfLfcFLzq7tHZKDrOKH1BS4jThxPp_EqiL0itDeCqoyevjw9AMawrpUdem3TcAucCTLKo/s42/henryk+head.png
Hunter Hat,50,50,40,50,20,5,11,14,16,Head,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhhyphenhyphennQ6wogxRVHolYCTAmglXPWEV3e6W_BIduE3fsOV8dn7OaWeay1OCHqaoKsabFkgpQagsKMqsFBM7GDJDz72RtdUDm1_rIG2wPax2EVUHvqiLCdhBPpuvjqxP0pMqwhQOU5qLViu8QI/s42/hunter+head.png
Iron Yahar'gul Helm,60,40,10,20,20,5,7,9,12,Head,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiIZOLQARvS8BRGs-JHDVrYu8bb66ozVluVg1SS7n9KTZoQt-LEkVAFdR-eRlj83tqdFXkHveRruJnp-xGdrGLjxD-QE9h0oL91cnLkicsp3cZSzKvVuc_259TiaQmtlPdbF9rr-a0-mIM/s42/iron+helm.png
Knight's Wig,30,40,40,60,40,8,14,13,12,Head,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhpen71Fc9jXUKq1HSe-oiLfMQlqMhiW06LtjOqzrYctukiDMI24ofJnMBCqbAf__ma-3zAum28jNiZJYFH4B8G5sk5gOnKTWdR9bB3cIjfeNmMD0bXAxyjky1v0bTZXDUdT2DhiZDtiGA/s42/knight+head+male.png
Madman Hood,40,30,40,40,60,18,17,1,9,Head,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEitGAE1bMhbCmSJzruTuXuImR_Y3Pce-EnSKh3QD0_Ofz0asKi23J_fvhbIkQd2i8ZZmKL5FpxwDoar7hQH96RR4LsbZH6hM3mnKRINpcjeLaK6X_w8E69usNyOuyfGALOR9z1btgUGc1Y/s42/madman+head.png
Maria Hunter Cap,40,40,40,70,30,6,17,10,4,Head,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhYhOj50kKlFv1AsquNdT6M2ZcAknyRRDb3JcaVWQi64FAFbggpal_U97uPrWBlrmktnllZCyKFg-zlhCh6cbSEg4SSFtrWByB-3pGjAf3xrl9UzSvbQgtodOpas-R_MKLJRz_iUk5lj88/s42/maria+head.png
Mensis Cage,60,20,10,30,40,8,13,2,5,Head,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg110uy0yCBRLki6njEIBTrk4DiJVoHS3IvhyBJq5Bno8KAVPfLYJ_IZsN1Idwfds5DgjXNq0sWX9Z0TVu2XTfdCzeb6oVHCzQbK3oL1EXczJv2tnDvvLU_X8f_SfM-1hETm2TVRkvX2kg/s42/mensis+cage.png
Old Hunter Cap,50,30,40,50,30,11,5,13,19,Head,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgMhEG14Rft4iChj8ykteVLiWO4EbuxxBuHL2SLmxpsSMhg-IAIFI6vsK6X9P78B6VDwrC0MnLc23rrJeSITOL2iyiZjXkrXVpXq9E5xfJcjj3xTnbR6IZT-Wmiz6kmwRmqw70VZYjGzRA/s42/old+hunter+head.png
Old Hunter Top Hat,30,60,40,30,30,8,5,17,13,Head,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEimG_k5iJM2pDguMnQw8m4X7c4KM7jN-YJukT4zyYBkSOrhkN9C4EF77jsE8dV4j-SbzIHtOB_sON0qZ1nJIhHUs4so7uH1RYReyJsoZefR-fRN9SZd2t2LowXZhbnCVJBI6WU7dMrWmiE/s42/decorative+hunter+head.png
One-eyed Iron HelmMaster's Iron Helm,60,20,50,50,20,6,10,13,23,Head,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEitdQy7iXoqOKz87ide8oPhO5vvlf5Cm-L_MbmIAs54QSD3guzA_mGJWgnWC4t_RLVfqWrFE9xKvnj5kEGtoNAeqUanv2HIvOlZfmKYDlHxeSnYf_aHzJpmtyCFoFt4J6p8-UFtnvCRHXM/s42/valtr+head.png
Rumpled Yharnam Hat,20,20,20,10,20,8,11,13,8,Head,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgCdei-G1B00eEOGMAgPAFPZRx-ERcmATA3XUHh_awIm8FufkWinbsjFQhYsflksYpd_nmntFS8UITLwaT6-X_AiNFAv_ryhNnRvLk-UxU_o1CUbQ0wZrQsBzLG9mqdRRddsDx38iY4-LA/s42/yharnam+head.png
Tomb Prospector Hood,40,40,50,50,60,18,16,4,15,Head,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhjHxfwWEYmvk_mpx1_cZKH0j6_xwrUdWhUpZpPSpQIK1iOt1IY1FxVtVHNEYR9tpDHT-K3y0uXYe5sdugDyXvgO89qrM6AlOCEdyqHOwWdMsS4ijJVHHOnB_BTnY6EoGgI9fOUN9BHF-E/s42/prospector+head.png
Top Hat,30,70,40,20,20,14,13,10,8,Head,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiZAPOtasRAFlsGf5Daf29Tf0SPByG3QPDtXuixzkur2ns-GU5OBuSwpGdqZ2nGegavOWsZZkPYg4kT2qsgq9xaf200wCV_roQd2ahzy5eZ_orgklpt_SWpyIwqOfk0Ra0dh-JX9hyphenhyphenu6Js/s42/top+hat.png
White Church Hat,30,40,40,60,60,21,18,3,12,Head,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhlfi1Hgd5NVNF1DRR8PHU8a8s6Sh3BWkFmB5r6aatxV-gIAaMfBKFWy0yBuWMby5m0BsDPQ7dVE6azVLtiW60woQW9HaPgnLnDHF0QZkVgJF9hXXgjbKp2i-Hs4aflLol9Iq00ecarXO4/s42/which+church+head+male.png
Yamamura Hunter Hat,50,30,40,50,30,5,11,19,13,Head,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj8S0OllVd9XPywfE5C-sqYU-h12YykHlHEbSGU2syuU4s11DvBXfj5VuxAUE9h1_fNJGUADuGni6c37hBRMRJrKQWBwDC8AjJmqT3RuAnJoukVWjfj7T4TjwCGkLfRmIWfBWXlvwtD3CE/s42/yamamura+head.png
Yharnam Hunter Cap,50,40,40,40,50,16,13,14,16,Head,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEifaoB-yDF39TmgSD5M9qRHCO4SpAizDU-JQHz5Od0xX1aw8f2rVcJRK8StvYk8OGNqmtXzE7SE5KQcQpTR3e_nPtTcOEXD0mEmRlEQt3xM2725ysY2uvy4_navSpgYkZBsdin0VU-idD0/s42/yharnam+hunter+head+male.png
